TIM3negPD1neg_TIL,TIM3negPD1pos_TIL,TIM3posPD1pos_TIL
Zbtb10,Fancc,Havcr2
Gm21762,Vat1l,Adgrg1
Dtx1,1700019D03Rik,Dsc2
Ccr9,Gpm6b,Tmem119
Dntt,Rwdd3,Rasd2
Blnk,1500004A13Rik,Gzmg
Lifr,Synpo,Clec7a
Pde2a,Fshb,Npnt
2010309G21Rik,Farsb,Ms4a6d
Klk1b27,Tbc1d4,Mgat3
Mef2c,Spock2,Hmox1
Nsg2,Xcl1,Fpr2
Klk1,Tspan2,Pdpn
Scarb2,Gpld1,B4galnt2
Rnase6,Ndrg2,Entpd1
Treml2,Cd160,Itlnb
Ptcra,Gucy1a3,Klhl30
Fam101b,Kif13b,Ccr1
E430014B02Rik,Pot1a,Tgfbi
Pmepa1,Chic1,Slc37a2
Tnfrsf13b,3300002A11Rik,Clec4d
Mzb1,Rasgef1b,Cdk14
Sh3pxd2a,Hspa1a,Mmp12
Lef1,LOC100861978,Mrc1
Sh3bgr,Gm19937,Adam8
Cd79b,Ptprk,Cxcl2
Aqp9,Ccr6,Fcgr1
Sell,Syt11,Chl1
Cmah,Spry1,Ccl9
Pde4b,9030407P20Rik,D430041D05Rik
Spib,Pak6,Srxn1
Ttc28,Plekhh1,Rgs8
Atp1b1,BC005685,Mt1
Abhd15,2810039B14Rik,Adgre1
Kmo,Pign,Ccl12
A430028G04Rik,Tktl1,Fcgr3
Siglech,Otx1,Cd93
Klk1b9,Wdpcp,Ccl6
9130401L11Rik,Cenpu,Ms4a7
Emb,Ptprj,Calca
Gbp2,Ntrk3,Fcgr4
Eepd1,Dio2,Arnt2
Plxdc1,Mfrp,Serpinb3b
Tlr7,Kcnq5,Ccl8
Pgs1,Twsg1,Msrb3
Akap2,Itpkc,Arg1
Foxp1,Mns1,C5ar1
Pik3ip1,Kif5c,Npl
Entpd6,Pank1,Il1rn
Thra,Rab39b,Ptgs2
Ptk2,Ubap1,Lhfpl2
Pag1,Cetn4,Trib3
Shb,Bace2,Mcpt8
Psap,Hmgb3,Igf2bp2
Rasgrp2,Ube2s,Cmtm3
Igtp,Ccl27a,Eps8l3
Rgmb,Rnf43,2310031A07Rik
Alpl,Klf4,Cxcl9
Slamf9,Tacstd2,Clec4e
Pld4,Slc2a10,Rhou
Igfbp4,Gpr62,Slc11a1
Rasa3,Ttc39b,Jup
Igkv6-23,Dlst,LOC328066
Bzw2,Sft2d2,Adam22
Slpi,Itgb1,Zfand4
Tmem108,Sgsm2,Cdkn2b
Camsap2,Pter,Cxcl1
Igsf23,Ercc6l2,Id2
Ifit3,Tm4sf20,Ctnnd2
Ctsh,Sectm1a,Clec4n
Galnt10,Bcl2l1,LOC677008
Fam234b,Tab2,Spats2
Ppfia4,Atxn1,Il1r2
Sfrp2,DXErtd242e,Ptgs1
Ifit1bl1,Prkab2,Xpo7
Tnfaip8l2,Homer1,Hbb-bt
Slco3a1,Wisp1,1810011H11Rik
St3gal6,4930520O04Rik,Ncor2
Ak8,Atp2b2,Gatm
Sgk3,Gm6277,Gzmc
Aldh1b1,Palld,Msr1
Bcl11a,Nrp1,Calcb
Pltp,Ccr8,Clec4a3
Havcr1,5830474E16Rik,Alox5
LOC102642487,Tyms,Raet1e
Cd24a,Megf11,Sdc1
Cd209a,Rnf165,Gfra2
Gpx1,Tiam1,Ccl7
Gramd3,Plxdc2,Tmprss6
Klk4,Rnf214,Rai14
Rassf3,Lrrc20,5430435K18Rik
Mbp,Usp40,BC022960
Aqp3,Ebi3,Colec12
D8Ertd82e,Scin,Nqo1
Cnr2,Ak3,Cd14
Ppp1r13b,Tgfb1,Glis1
Rtn4rl1,Gm26910,Mylk
Tbc1d8,Pold1,Pilra
Cd7,Pnkd,Gng11
Rgs10,Mapk8ip1,C3ar1
Usp28,Sla,Dio2
Itgb7,Cdk5rap2,Mt2
Rai2,Gramd1b,Nus1
Tgtp2,Rab11fip1,Itgb5
Secisbp2,Mfsd3,Ltf
Klra17,Pms1,Tff1
S1pr1,Bmpr2,Ripply3
Man1c1,A930012N16Rik,Depdc1a
Gabrr2,1700016C15Rik,Utf1
Actn2,Zfp128,Lgi2
Cyp2j6,Cldn10,Tbc1d31
Adgrg5,Lrfn1,Wfdc17
Armcx6,Dzip3,Ppp1r3b
Ldlrap1,Ubr1,Ccl2
Pydc4,Pgpep1,Lyz1
Acss2,Pibf1,Zfp825
Gpr146,Slc35b4,Dab2ip
Il17ra,6430710M23Rik,Sept11
Cyth1,AI451250,Dab2
Rcc2,Dcaf5,Sulf2
Tubb2b,Glcci1,LOC100038947
N4bp2,Idi2,Nupr1
Whrn,Arhgef16,Ccdc53
Cox6a2,Dcaf8,F10
Dtx4,Klrb1b,Cep85
Tcf4,Lactb2,Ncam1
Tsc22d1,Prkcz,Fcgr2b
Sh3bp4,Foxp4,Clec4a2
Igkv8-30,BC068281,Clec4b1
Cdh5,Cables1,Apold1
Glce,Frzb,Filip1
AU021895,Siglecf,Gda
Xkrx,Prss2,Rhoc
Pdlim1,Zkscan7,C1qc
Upb1,Metrnl,Kcnd3
1700025G04Rik,Tmem25,Pf4
Cxcr5,Ptch1,Eprs
Csf2rb2,0610011F06Rik,Dynll1
Il4ra,Hmgn5,Mthfd2l
Rftn1,Nkap,Ubxn11
A630023P12Rik,Ppp2r3a,Sh2d5
St8sia1,Rnf133,Lyz2
Flt3,Wtip,Bcl2l15
Sema4b,Osr2,Cep170
Foxp3,Emc7,Slc6a9
Sh3bp5,Gm29721,Slc52a3
Rapgef4,Mfsd8,Lilrb4a
Sbk1,Lpar3,Crat
Dzip1,Slc25a27,Asns
Chst15,Gabarapl1,Esco2
Acp5,Fam20c,Ern1
Drc1,Mall,Renbp
Daxx,Jam2,C1rb
Card6,Crabp2,Grk5
Pou6f1,Scgb1b2,Qpctl
Ldlrad4,Akt3,Ppp2r2c
Sidt1,Oxnad1,B4galt6
Aff3,4932438H23Rik,Dync1li2
Tcf7l2,Spire1,Dna2
Kcnj8,Filip1l,Ralb
Gimap6,Tspan32,D430020J02Rik
Cd209d,Smyd1,Pald1
Camk2d,Tirap,Asb5
2810001A02Rik,Tmem219,Anxa1
Ski,Erc2,Ppp3ca
Il6ra,Tmem231,Tpx2
Ggt1,Ptpn21,Sash1
Ifit1,Zbtb42,Gm10034
Rnd3,Senp1,Il1b
Ube4a,Tns1,Pbx3
Atp1a3,Nt5e,E2f8
Fcrla,4921509J17Rik,4933431E20Rik
Slc25a23,Ttc39c,Xpot
Gria3,Mrpl17,Antxr1
Grap2,Nr3c2,Chek2
Ifnar2,Fam199x,Plpp1
A930005H10Rik,Tbccd1,Cxcr6
Atp10d,Cacnb1,Rpa2
Itprip,Cabin1,Gstm5
Ankrd11,Ube3a,Arhgef25
Rnf144a,Zfp553,Flywch2
Enc1,Fgfr1op,Tcrg-V4
Tet1,Arhgef9,Pif1
Satb1,Ssbp2,S100a1
Tle1,Rims3,Syngr3
Tanc1,Stk35,Osgin1
Fam117a,Ttf2,F13a1
Mn1,Zswim8,Hook3
Ndufb9,Ajuba,Fcer1g
Itgae,Sh3rf1,Zwilch
Pja1,Etv5,Thbd
Pdzd4,4933407A17Rik,Anxa2
Unc5cl,Slc35a2,Galnt3
Ablim1,Ubxn2a,Nuf2
Klf3,Cryzl1,Rwdd4a
Eif4h,Tespa1,Cdca2
Lypd6b,Hspa4l,Adal
Smim5,4933407O12Rik,Ctsd
Galnt11,Naprt,Dock7
Id3,D530015H24Rik,Plin2