GSE140430_StemvsEf,GSE140430_EfvsStem
Mybl1,Mettl8
Enpp5,Hc
Klf3,Tpx2
Setd7,Mnd1
Mpp7,2700081O15Rik
Tcf7,Cenpk
Gpr183,Ppfia1
Stat4,Rap1gds1
Itga6,Dpep3
Il23a,Gldc
Galnt3,Ccl3
Tanc2,Ube2f
Eml4,Prrt3
Slco3a1,Scly
Il7r,Pycard
Sorl1,Pdap1
Ccr6,Prrg4
Dpp4,Armc9
Ccr7,Itga2
Plac8,Atp6v0e2
Atp1b1,Pigs
Ccl2,Ckap5
Kcna3,Oas3
Tprg,Cxcl13
Pdcd4,Etv1
Sorbs3,Ormdl3
Dhrs3,Sgpp2
Clu,Zc3h7a
Igfbp3,Ate1
Foxp1,Eif4e
Ssbp2,Abhd14a
Apba2,Tuba1b
Itga5,Pon2
Dse,Caskin2
Il2,Entpd1
Rasgrf2,Ntng2
S1pr5,Tnfsf4
Plaur,Aunip
Plxnd1,Racgap1
Hook1,Gas2l3
Plcb1,Myrf
Perp,Nelfcd
Scml4,Sumo2
Dcbld1,Tlr6
Timp1,Il6st
Fam110c,Slc2a8
Rpl3,Incenp
Rimklb,Rasd1
Tgfbi,Cblb
Ptger2,Cenpo
Adrb2,Exo1
Tmem71,Dvl3
Marcksl1,Recql4
Rapgef5,Sh3kbp1
Sesn1,Rab10
Mpzl3,Bhlhe40
Plxdc1,Mki67
Tmcc3,Akt1
S100a10,Rab5b
Bnip3,2610028H24Rik
Mxi1,Slc35f2
Gcsam,Lmcd1
Atp2b1,Blvra
Tiparp,Mss51
Cd40lg,Vkorc1l1
Nmral1,Ttc7
Glipr1,Ttyh3
Rnf125,Triobp
Fhl1,Sfmbt2
Cyb561,Clstn3
Nr3c2,Mis18bp1
Ifngr1,Anxa5
Rnf144a,Nme1
Susd1,Zdhhc24
Fam117b,Psmf1
Cmtm8,Atxn7l1
Pomgnt2,Dcaf7
Mgat5,Birc5
Uxs1,Spn
Gatm,Mst1r
Fyn,Spry2
Dennd5a,Adprh
Lyar,Orai3
Dstn,Cat
Hkdc1,Crat
Myc,Carhsp1
S1pr1,Syngr2
Gdpd5,Src
Saraf,Anks1b
Mgat4a,Rhoc
Prkci,Ccdc71
Atp6v1g1,Dpf3
Auts2,Ints9
Rbms1,Samd9l
Prnp,Sccpdh
Srsf6,Cenpf
Zfp395,Tnfrsf1b
Ano10,Cd70
Smim3,Lrrc32
Nfia,Igflr1
Tmem123,Haao
Tnfsf14,Spag5
Rasl11a,Tmem258
Spon1,Pfkl
Spink2,Cope
Gadd45b,Osbp2
Egr3,Bag4
Dgkd,Med28
Il5ra,Pex14
Fcrl6,Ncoa1
Tmem163,Ctsz
Ddx5,Dusp16
Cacna1i,Itpr1
C3ar1,Zfp281
Spon2,Kntc1
Rpl14,Elp6
Rasgrp2,Golga3
Rpl9-ps1,Ercc6l
Upp1,Fbxo43
Mlxip,Tshz2
Syngr1,Prdm1
Tle4,Fech
Slc4a4,Brca2
Pglyrp2,Adcy3
BC005624,Fam111a
Hemgn,Cdyl2
Cth,Zfp428
Fus,Cdca5
Car10,Lrba
Ier5,Acads
Bach2,Slc13a3
Rpl5,Ect2
Gm10260,Naaladl1
Gata6,Hipk2
Atg16l1,Sh3bgrl2
Plb1,Alpk2
Usp6nl,Tab2
Prkar2a,Trav2
Smyd3,Plxnb2
Tpbg,Pcif1
Phyh,Cst7
Dlg5,Psmc1
Igfbp7,Glb1l2
Mtfp1,Shroom3
Tubb2a,Pdcd1
Lmna,Lrrc75b
Rbm3,Trp63
Ripk2,E2f1
Ccnl1,Casp3
Cd83,Rad51c
Il12rb2,Wnt9a
Insig2,Rhobtb2
Pbx4,Cttnbp2nl
Spef2,Ubtf
Slc44a1,Ttbk1
Syde2,Ctdp1
Zdhhc11,Bax
Ahnak,Gfra3
Golga7b,Lipe
Smurf2,Vezt
Trav1,Elmod1
Gfpt2,Rasal1
Nck2,Zbtb34
Scrn1,Hnrnpr
Nhsl2,Arl11
Aoah,Rbck1
Camk4,Snx20
Tnik,Ube2c
Ccdc65,Zfp367
Rps16,Adam28
Ly9,Rasgef1a
Il4i1,Jmjd4
Sat1,Zfp438
Hlf,Vps50
Zc3h12a,Camkk2
Rora,Nat14
Ddx27,Fignl1
Gcnt4,Ppara
Arhgap26,Trappc13
Thbs1,Aebp1
Rpl4,St8sia1
Serpinb6a,Has3
Ckap4,Anln
Egr1,Cyp2d40
Ppp2r5c,Lasp1
Tsc22d3,Scamp2
Fam177a,N4bp2
Rab27b,Gna12
Rragd,Gan
Triqk,Mtmr7
B3gntl1,Ndufaf6
Rufy3,Ptprj
Slc39a10,Anxa9
Prss3,Cep57l1
Chd9,Kcnk5
Gtsf1,P3h1
Arntl,Cdca3
Cd69,Nudt11
Ltk,Pkia
Btg1,Inpp5f