Kumar_CD69+Trm,Kumar_CD69-Tem,Mackay_Trm,Mackay_Tcm/Tem
CA10,STK38,INSIG1,HBA2
ITGAE1,TTC16,DDX3X,C19orf38
ITGAE,SELL,DHCR24,SNX10
IL2,KLF3,PPP1R16B,HAAO
IL10,KLF2,KLF6,POGK
CXCR6,D4S234E,BTG2,SBK1
CXCL13,SBK1,CXCR6,KLF2
KCNK5,FAM65B,FOSB,BCL9L
RGS1,TTYH2,JUN,THAP7
CRTAM,NPDC1,HSPA5,ASRGL1
DUSP6,KRT72,NEDD4,ELMO1
PDCD1,S1PR1,PLK3,HEXB
IL23R,SOX13,STARD4,RACGAP1
,KRT73,TNFAIP3,CXCR4
,TSPAN18,B4GALNT4,CDC25B
,PTGDS,IRF4,LFNG
,RAP1GAP2,CISH,S1PR5
,CX3CR1,MAPKAPK3,ARHGAP26
,,SIK1,MPND
,,PYGL,KCNAB2
,,CTNNA1,ATP1B3
,,ODC1,S1PR4
,,PER1,TMEM71
,,DUSP1,KBTBD11
,,ATF3,EMB
,,LDLRAD4,MS4A4A
,,JUNB,GRAMD4
,,NFKBID,EHD3
,,FOSL2,KCNN4
,,RGS2,TCF7
,,NR4A2,MS4A4A
,,DGAT1,PAQR7
,,ARRDC3,FAM89B
,,FRMD4B,LYST
,,NR4A1,GLIPR2
,,GPR171,EML3
,,SMIM3,S1PR1
,,EYA2,PIK3R5
,,GPR55,SETX
,,AL662899.4,TXNDC5
,,CSRNP1,NCLN
,,TRAF4,STK38
,,ZFP36,ITGA4
,,GLRX,CCL5
,,DUSP5,CD84
,,LITAF,KLF3
,,GADD45B,ABTB2
,,IFNG,TBXA2R
,,OSGIN1,LYRM2
,,ABI3,OBP2B
,,EGR1,ACP5
,,HILPDA,PODNL1
,,SKIL,LEF1
,,RNF149,SH2D1A
,,HMGCS1,PHF11
,,P4HB,TSR3
,,PNRC1,GMFG
,,GPR34,EOMES
,,PPP1R15A,GNPDA2
,,ITGAE,PDE2A
,,P2RY10,SIDT1
,,EHD1,GAB3
,,DUSP6,TXK
,,XCL2,AVEN
,,SPSB1,ICAM2
,,ISG20,KLHL6
,,INPP4B,SAMHD1
,,NEURL3,SMPDL3B
,,HPGDS,TTC7B
,,RHOB,C5orf30
,,VDAC1,ATP10D
,,LAD1,ST3GAL1
,,FOS,VOPP1
,,CDH1,PCED1B
,,CD69,DOCK2
,,QPCT,ITGB1
,,HSPD1,FAM117A
,,,IL10RA
,,,LPIN1
,,,RBM43
,,,ARHGEF18
,,,RASA3
,,,ABHD8
,,,FAM49A
,,,RASGRP2
,,,B3GAT3
,,,PRKCQ
,,,XRN2